session_id,step_id,interface_option,interface_order,quantitative,qualitative
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,benchmark-survey,benchmark,"['single', 'multi', 'benchmark']","[{'questionId': 'ease', 'answer': 7}, {'questionId': 'fun', 'answer': 7}, {'questionId': 'helpful', 'answer': 7}, {'questionId': 'useful', 'answer': 7}, {'questionId': 'benchmark_list_scan_ease', 'answer': 7}, {'questionId': 'benchmark_list_efficient', 'answer': 7}]","[{'questionId': 'benchmark_feature_ideas', 'answer': 'An option to view the accommodations in two per row while scrolling.'}]"
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,multi-survey,multi,"['single', 'multi', 'benchmark']","[{'questionId': 'ease', 'answer': 5}, {'questionId': 'fun', 'answer': 5}, {'questionId': 'helpful', 'answer': 6}, {'questionId': 'useful', 'answer': 5}, {'questionId': 'multi_scroll_notice', 'answer': 5}, {'questionId': 'multi_scroll_axes_helpful', 'answer': 5}, {'questionId': 'multi_scroll_axes_confusing', 'answer': 5}, {'questionId': 'multi_scroll_diagonal_helpful', 'answer': 4}, {'questionId': 'multi_scroll_diagonal_confusing', 'answer': 5}, {'questionId': 'multi_filter_easy', 'answer': 6}, {'questionId': 'multi_filter_helpful', 'answer': 6}, {'questionId': 'multi_header_click_filters', 'answer': 6}, {'questionId': 'multi_cell_action_combined', 'answer': 6}, {'questionId': 'multi_item_click_shows_list', 'answer': 4}, {'questionId': 'multi_show_results_button', 'answer': 5}, {'questionId': 'multi_history_saved', 'answer': 5}, {'questionId': 'multi_history_step_back', 'answer': 3}]","[{'questionId': 'multi_what_works', 'answer': 'The ability to see the best results for two subcategories.'}, {'questionId': 'multi_improve', 'answer': 'Maybe a quick explanation when someone tries to use the arrows for the first time. '}]"
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,single-survey,single,"['single', 'multi', 'benchmark']","[{'questionId': 'ease', 'answer': 6}, {'questionId': 'fun', 'answer': 7}, {'questionId': 'helpful', 'answer': 7}, {'questionId': 'useful', 'answer': 7}, {'questionId': 'single_horiz_scroll_ease', 'answer': 5}, {'questionId': 'single_title_filter_intuitive', 'answer': 7}, {'questionId': 'single_title_filter_clear', 'answer': 7}, {'questionId': 'single_info_density', 'answer': 6}, {'questionId': 'single_compare_helpful', 'answer': 6}, {'questionId': 'single_independent_lists', 'answer': 7}]","[{'questionId': 'single_what_works', 'answer': 'The options were all easy to see in a short time and in convenient subcategories.'}, {'questionId': 'single_title_filter_feedback', 'answer': 'They were clear and what I would look for when searching for accommodations.'}, {'questionId': 'single_title_filter_improve', 'answer': 'Maybe with more options or a choice of titles. '}]"
03250254-7388-44aa-b1f3-f1f612af196f,benchmark-survey,benchmark,"['single', 'benchmark', 'multi']","[{'questionId': 'ease', 'answer': 7}, {'questionId': 'fun', 'answer': 7}, {'questionId': 'helpful', 'answer': 7}, {'questionId': 'useful', 'answer': 7}, {'questionId': 'benchmark_list_scan_ease', 'answer': 7}, {'questionId': 'benchmark_list_efficient', 'answer': 7}]",[]
03250254-7388-44aa-b1f3-f1f612af196f,multi-survey,multi,"['single', 'benchmark', 'multi']","[{'questionId': 'ease', 'answer': 3}, {'questionId': 'fun', 'answer': 3}, {'questionId': 'helpful', 'answer': 2}, {'questionId': 'useful', 'answer': 1}, {'questionId': 'multi_scroll_notice', 'answer': 1}, {'questionId': 'multi_scroll_axes_helpful', 'answer': 1}, {'questionId': 'multi_scroll_axes_confusing', 'answer': 1}, {'questionId': 'multi_scroll_diagonal_confusing', 'answer': 1}, {'questionId': 'multi_filter_easy', 'answer': 1}, {'questionId': 'multi_filter_helpful', 'answer': 1}, {'questionId': 'multi_header_click_filters', 'answer': 1}, {'questionId': 'multi_cell_action_combined', 'answer': 1}, {'questionId': 'multi_item_click_shows_list', 'answer': 1}, {'questionId': 'multi_history_saved', 'answer': 1}, {'questionId': 'multi_history_step_back', 'answer': 1}, {'questionId': 'multi_scroll_diagonal_helpful', 'answer': 1}, {'questionId': 'multi_show_results_button', 'answer': 1}]","[{'questionId': 'multi_what_works', 'answer': ""I don't like this interface at all""}, {'questionId': 'multi_improve', 'answer': ""I don't know because I find this interface annoying""}]"
03250254-7388-44aa-b1f3-f1f612af196f,single-survey,single,"['single', 'benchmark', 'multi']","[{'questionId': 'ease', 'answer': 6}, {'questionId': 'fun', 'answer': 5}, {'questionId': 'helpful', 'answer': 6}, {'questionId': 'useful', 'answer': 6}, {'questionId': 'single_horiz_scroll_ease', 'answer': 6}, {'questionId': 'single_title_filter_intuitive', 'answer': 5}, {'questionId': 'single_title_filter_clear', 'answer': 5}, {'questionId': 'single_info_density', 'answer': 6}, {'questionId': 'single_compare_helpful', 'answer': 6}, {'questionId': 'single_independent_lists', 'answer': 6}]","[{'questionId': 'single_what_works', 'answer': 'Easy to use'}, {'questionId': 'single_title_filter_feedback', 'answer': 'You can filter only doing click to a button not typing'}]"
03ae5903-9d2d-4720-9a8d-29da9564cf2a,benchmark-survey,benchmark,"['benchmark', 'multi', 'single']","[{'questionId': 'ease', 'answer': 7}, {'questionId': 'fun', 'answer': 7}, {'questionId': 'helpful', 'answer': 7}, {'questionId': 'useful', 'answer': 7}, {'questionId': 'benchmark_list_scan_ease', 'answer': 7}, {'questionId': 'benchmark_list_efficient', 'answer': 7}]",[]
03ae5903-9d2d-4720-9a8d-29da9564cf2a,multi-survey,multi,"['benchmark', 'multi', 'single']","[{'questionId': 'ease', 'answer': 7}, {'questionId': 'fun', 'answer': 7}, {'questionId': 'helpful', 'answer': 7}, {'questionId': 'useful', 'answer': 7}, {'questionId': 'multi_scroll_notice', 'answer': 7}, {'questionId': 'multi_scroll_axes_helpful', 'answer': 7}, {'questionId': 'multi_scroll_axes_confusing', 'answer': 1}, {'questionId': 'multi_scroll_diagonal_helpful', 'answer': 4}, {'questionId': 'multi_scroll_diagonal_confusing', 'answer': 2}, {'questionId': 'multi_filter_easy', 'answer': 4}, {'questionId': 'multi_filter_helpful', 'answer': 6}, {'questionId': 'multi_header_click_filters', 'answer': 4}, {'questionId': 'multi_cell_action_combined', 'answer': 4}, {'questionId': 'multi_item_click_shows_list', 'answer': 4}, {'questionId': 'multi_show_results_button', 'answer': 4}, {'questionId': 'multi_history_saved', 'answer': 4}, {'questionId': 'multi_history_step_back', 'answer': 4}]",[]
03ae5903-9d2d-4720-9a8d-29da9564cf2a,single-survey,single,"['benchmark', 'multi', 'single']","[{'questionId': 'ease', 'answer': 7}, {'questionId': 'fun', 'answer': 7}, {'questionId': 'helpful', 'answer': 7}, {'questionId': 'useful', 'answer': 7}, {'questionId': 'single_horiz_scroll_ease', 'answer': 7}, {'questionId': 'single_title_filter_intuitive', 'answer': 7}, {'questionId': 'single_title_filter_clear', 'answer': 6}, {'questionId': 'single_info_density', 'answer': 5}, {'questionId': 'single_compare_helpful', 'answer': 6}, {'questionId': 'single_independent_lists', 'answer': 7}]",[]
073ff8f1-2ce0-46da-a6a5-536ae9a48448,benchmark-survey,benchmark,"['single', 'benchmark', 'multi']","[{'questionId': 'ease', 'answer': 7}, {'questionId': 'fun', 'answer': 7}, {'questionId': 'helpful', 'answer': 7}, {'questionId': 'useful', 'answer': 7}, {'questionId': 'benchmark_list_scan_ease', 'answer': 7}, {'questionId': 'benchmark_list_efficient', 'answer': 7}]",[]
