session_id,interface_option,question_id,answer
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,multi,multi_what_works,The ability to see the best results for two subcategories.
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,multi,multi_improve,Maybe a quick explanation when someone tries to use the arrows for the first time. 
03250254-7388-44aa-b1f3-f1f612af196f,multi,multi_what_works,I don't like this interface at all
03250254-7388-44aa-b1f3-f1f612af196f,multi,multi_improve,I don't know because I find this interface annoying
177ea1ba-e7a2-4bb8-8e8c-30b6320e9fd2,multi,multi_improve,Jet to rozwojowy pomysł 
177ea1ba-e7a2-4bb8-8e8c-30b6320e9fd2,multi,multi_what_works,Przewijanie w pionie jest najbardziej intuicyjne
25b78ff2-cbf6-4df6-bc5b-2dc1f5c2beba,multi,multi_what_works,This type of browser is not my favorite. Too many options in one. I prefer linear browsing
343da180-8031-4b31-9e6e-333341a68929,multi,multi_improve,"...but feels over engineered.
Scroll bars for both directions would be easier to understand than arrows.
The same accommodation would come up in different cells, which was confusing."
343da180-8031-4b31-9e6e-333341a68929,multi,multi_what_works,It's crafty...
4023dfff-6229-448f-af14-ae8372bdb209,multi,multi_what_works,It could be helpful to search for very specific offers.
4023dfff-6229-448f-af14-ae8372bdb209,multi,multi_improve,"I don't know, too many arrows made it complicated"
4c6716ce-2a1e-418a-8d9e-753859069a71,multi,multi_what_works,
4c6716ce-2a1e-418a-8d9e-753859069a71,multi,multi_improve,
55eda0b3-163d-49e2-8063-257d765a6847,multi,multi_what_works,Nothing
55eda0b3-163d-49e2-8063-257d765a6847,multi,multi_improve,Sometimes less is more and I think it is easier to use a platform with a simplistic intuitive design than having to many possibilities when trying to just browse and not knowing too specifically where you want to get. 
56627cf8-2ec4-41e5-8a4c-4e65be62cb41,multi,multi_what_works,"innovative way of filtering in matrix-like style, good to include two parameters at once, but in the long run hidden cell with all the results is a little inconvenient."
6845ae9e-08f7-4642-860e-249139a5f885,multi,multi_what_works,I liked that it categorized the hotels in a nice way. I usually care about the price and the rating and this way i could easily find group of acommodations that could suit me.
6845ae9e-08f7-4642-860e-249139a5f885,multi,multi_improve,"Not sure how but making the scrolling more intuitive would help. It's not really a concept users are used to, so it was confusing at first."
6a844a80-d632-4a7b-9528-51943c071856,multi,multi_what_works,horizontal and vertical option
6a844a80-d632-4a7b-9528-51943c071856,multi,multi_improve,
70c25238-510a-4071-bd0c-8495ccca678b,multi,multi_what_works,Seeing which filters are already set and being able to delete them.
70c25238-510a-4071-bd0c-8495ccca678b,multi,multi_improve,I dont know. I think it is too complicated and not intuitive enough. But maybe that is just because I have never seen/used this type of browsing.
77f87ad4-ea54-49f0-8988-37946b76d636,multi,multi_what_works,"To be honest, I have never seen such an interface and have not understood how it works and therefore not really used it at all. Now that I see the explanation in the evaluation, I understand it and perhaps could have used it better. Since I have never seen this before, I would have needed a short explanation at the beginning."
77f87ad4-ea54-49f0-8988-37946b76d636,multi,multi_improve,An explanation of how the interface works at all would have been helpful.
7a4e4f17-ba1d-4573-be9d-344a5e30bac5,multi,multi_what_works,When having only 2/3 criteria it makes looking for apartment super easy. I can see how many apartment are in my budget while having the things I wanted. 
7a4e4f17-ba1d-4573-be9d-344a5e30bac5,multi,multi_improve,"I would like to decide how numbers can be sorted (ASC vs DESC).
Boolean values are easy to add (third dimension) as a color. Let's say we can color the background of apartment green if something is present or red if it is not"
8d50a960-fef3-4721-bfe1-76c5cae9dae7,multi,multi_what_works,"Nothing, it gave my anxiety."
8d50a960-fef3-4721-bfe1-76c5cae9dae7,multi,multi_improve,It couldn't. Stick to the basics. Booking-style it is.
8dc27316-3acf-48f0-ad39-d44cde754034,multi,multi_improve,Not sure but I do not find it intuitive at all..
8f77b2d0-9f68-4e33-9133-eddc537c73e8,multi,multi_what_works,Very modern way of searching the accomodation and modern way of presenting the data.
8f77b2d0-9f68-4e33-9133-eddc537c73e8,multi,multi_improve,"It really works for me, well done and so different to the ones that we've already known. But to be honest I like the second way of searching the most (booking-type) and multi-directional interface after this one."
8f79f055-7919-41c7-911d-b3c7189bfacd,multi,multi_improve,"There is too much going on. Not clear what the arrows do, it should be a continuous scrollable list. "
8f79f055-7919-41c7-911d-b3c7189bfacd,multi,multi_what_works,For first time use I did not like this interface. I can imagine with some explanation or experience using it that it could be very efficient to find what youre looking for. 
92b0d168-2038-449a-8780-0a9dc07594fd,multi,multi_what_works,Carousel form.
92b0d168-2038-449a-8780-0a9dc07594fd,multi,multi_improve,To use it more often to learn how it works.
93d991fb-be62-482a-a443-9651dc0ed391,multi,multi_what_works,Clear information selected and presented step by step.
93d991fb-be62-482a-a443-9651dc0ed391,multi,multi_improve,"The more you use it, the easier it is."
98ad7c12-53ba-4564-b93f-57f1f809f8cd,multi,multi_what_works,so enjoyable to use! and very clever because the needed results will be in the center of my search
98ad7c12-53ba-4564-b93f-57f1f809f8cd,multi,multi_improve,
a190f603-8556-43e7-aa16-e999b9b6a7db,multi,multi_what_works,DIFFICULT TO USE FOR ME
