session_id,question_id,answer
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,favoriteWhy,"This is the most familiar for me and makes the most sense, although the other interfaces were also nice, I would need for time to use them efficiently."
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,realWhy,"Again because I have used this before, I am comfortable and know exactly how to navigate the options."
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,feedback,A combination of the Booking- and Netflix-style could be interesting. Otherwise all were enjoyable to use!
03250254-7388-44aa-b1f3-f1f612af196f,favoriteWhy,it is easy to use and totally intuitive
03250254-7388-44aa-b1f3-f1f612af196f,realWhy,"same reason above. Using this booking-style interface was natural to me, I know how it works"
1925a64c-63bc-47f1-922b-05e1572b0ba3,feedback,"mapa z umiejscowieniem hoteli - najcześciej wybieram hotele z mapy...
po odfiltrowaniu okręslonych hoteli , oznaczeniu maksymalnej ceny .
Zaznaczam też określoną minimalną ocenę . W ten sposób mam przefiltrowane hotele , które wybieram z mapy."
25b78ff2-cbf6-4df6-bc5b-2dc1f5c2beba,favoriteWhy,The carousel of proposals was pretty cool in presentation but gave a chaotic picture of potential choices
25b78ff2-cbf6-4df6-bc5b-2dc1f5c2beba,realWhy,I am extremely used to this form of presenting accommodation proposals and I think this pattern give clear view of your preferences
2d5a0430-d472-41de-8437-d18e93908c94,favoriteWhy,Something new but can be hard for old people
2d5a0430-d472-41de-8437-d18e93908c94,realWhy,I already know this style and its easy to use for humankind :0
343da180-8031-4b31-9e6e-333341a68929,favoriteWhy,Combines ease of use with multiple filtering options.
343da180-8031-4b31-9e6e-333341a68929,realWhy,"Found it the most convenient to use.
It is the interface I am the most familiar with."
343da180-8031-4b31-9e6e-333341a68929,feedback,"Map view in all of them.
Search by name as well.
Multi-directional was too confusing and too cluttered to get used to quickly."
4023dfff-6229-448f-af14-ae8372bdb209,favoriteWhy,"the easiest to understand, very detailed"
4023dfff-6229-448f-af14-ae8372bdb209,realWhy,I'm used to it and I find it intuitive.
4c6716ce-2a1e-418a-8d9e-753859069a71,favoriteWhy,"Because I know how it works, as most of the booking-websites use this interface style"
55eda0b3-163d-49e2-8063-257d765a6847,favoriteWhy,"Simple, intuitive, I like lists"
55eda0b3-163d-49e2-8063-257d765a6847,feedback,Custom filters
599ccdc5-f31c-482e-a1d2-ae84b4393e19,favoriteWhy,It is fast and comfortable
599ccdc5-f31c-482e-a1d2-ae84b4393e19,realWhy,It is modern and useful
6845ae9e-08f7-4642-860e-249139a5f885,favoriteWhy,"Honestly most easy to use as it's the most common one, I'm used to it."
6845ae9e-08f7-4642-860e-249139a5f885,realWhy,"Same reason as above, out of habit."
6a844a80-d632-4a7b-9528-51943c071856,realWhy,I'm used of it and it's easier
70c25238-510a-4071-bd0c-8495ccca678b,favoriteWhy,"Variable filter ranges 
One result list displayed wich changes according to set filters
Scrolling vertically
Easy overview of filters with min/max and chosen range on the left side"
