session_id,step_id,interface_option,interface_order,quantitative,qualitative
01ea633e-0ac3-4fe1-ba28-95c5b7d16c4d,final-survey,,"['single', 'multi', 'benchmark']",[],"[{'questionId': 'favorite', 'answer': '2'}, {'questionId': 'favoriteWhy', 'answer': 'This is the most familiar for me and makes the most sense, although the other interfaces were also nice, I would need for time to use them efficiently.'}, {'questionId': 'real', 'answer': '2'}, {'questionId': 'realWhy', 'answer': 'Again because I have used this before, I am comfortable and know exactly how to navigate the options. '}, {'questionId': 'rank', 'answer': '[""benchmark"",""single"",""multi""]'}, {'questionId': 'feedback', 'answer': 'A combination of the Booking- and Netflix-style could be interesting. Otherwise all were enjoyable to use!'}]"
03250254-7388-44aa-b1f3-f1f612af196f,final-survey,,"['single', 'benchmark', 'multi']","[{'questionId': 'age', 'answer': '50'}]","[{'questionId': 'favorite', 'answer': '1'}, {'questionId': 'favoriteWhy', 'answer': 'it is easy to use and totally intuitive'}, {'questionId': 'real', 'answer': '1'}, {'questionId': 'realWhy', 'answer': 'same reason above. Using this booking-style interface was natural to me, I know how it works '}, {'questionId': 'rank', 'answer': '[""benchmark"",""single"",""multi""]'}, {'questionId': 'feedback', 'answer': ''}, {'questionId': 'sex', 'answer': 'Male'}, {'questionId': 'travelFrequency', 'answer': '2 – 3 times a year'}]"
03ae5903-9d2d-4720-9a8d-29da9564cf2a,final-survey,,"['benchmark', 'multi', 'single']","[{'questionId': 'age', 'answer': '43'}]","[{'questionId': 'favorite', 'answer': '0'}, {'questionId': 'favoriteWhy', 'answer': ''}, {'questionId': 'real', 'answer': '0'}, {'questionId': 'realWhy', 'answer': ''}, {'questionId': 'rank', 'answer': '[""benchmark"",""single"",""multi""]'}, {'questionId': 'feedback', 'answer': ''}, {'questionId': 'sex', 'answer': 'Female'}, {'questionId': 'travelFrequency', 'answer': 'More than 3 times a year'}]"
073ff8f1-2ce0-46da-a6a5-536ae9a48448,final-survey,,"['single', 'benchmark', 'multi']","[{'questionId': 'age', 'answer': '21'}]","[{'questionId': 'favorite', 'answer': '1'}, {'questionId': 'favoriteWhy', 'answer': ''}, {'questionId': 'real', 'answer': '1'}, {'questionId': 'realWhy', 'answer': ''}, {'questionId': 'rank', 'answer': '[""benchmark"",""single"",""multi""]'}, {'questionId': 'feedback', 'answer': ''}, {'questionId': 'sex', 'answer': 'Female'}, {'questionId': 'travelFrequency', 'answer': '2 – 3 times a year'}]"
0a3d9e56-4b43-4bf0-9b05-ef57dd30be2a,final-survey,,"['benchmark', 'multi', 'single']",[],"[{'questionId': 'favorite', 'answer': '1'}, {'questionId': 'favoriteWhy', 'answer': ''}, {'questionId': 'real', 'answer': '1'}, {'questionId': 'realWhy', 'answer': ''}, {'questionId': 'rank', 'answer': '[""multi"",""benchmark"",""single""]'}, {'questionId': 'feedback', 'answer': ''}]"
177ea1ba-e7a2-4bb8-8e8c-30b6320e9fd2,final-survey,,"['benchmark', 'multi', 'single']","[{'questionId': 'age', 'answer': '55'}]","[{'questionId': 'favorite', 'answer': '0'}, {'questionId': 'favoriteWhy', 'answer': ''}, {'questionId': 'real', 'answer': '0'}, {'questionId': 'realWhy', 'answer': ''}, {'questionId': 'rank', 'answer': '[""benchmark"",""single"",""multi""]'}, {'questionId': 'feedback', 'answer': ''}, {'questionId': 'sex', 'answer': 'Female'}, {'questionId': 'travelFrequency', 'answer': '2 – 3 times a year'}]"
1925a64c-63bc-47f1-922b-05e1572b0ba3,final-survey,,"['benchmark', 'single', 'multi']","[{'questionId': 'age', 'answer': '57'}]","[{'questionId': 'favorite', 'answer': '2'}, {'questionId': 'favoriteWhy', 'answer': ''}, {'questionId': 'real', 'answer': '2'}, {'questionId': 'realWhy', 'answer': ''}, {'questionId': 'rank', 'answer': '[""multi"",""benchmark"",""single""]'}, {'questionId': 'feedback', 'answer': 'mapa z umiejscowieniem hoteli - najcześciej wybieram hotele z mapy...\npo odfiltrowaniu okręslonych hoteli , oznaczeniu maksymalnej ceny .\nZaznaczam też określoną minimalną ocenę . W ten sposób mam przefiltrowane hotele , które wybieram z mapy.'}, {'questionId': 'sex', 'answer': 'Male'}, {'questionId': 'travelFrequency', 'answer': 'More than 3 times a year'}]"
25b78ff2-cbf6-4df6-bc5b-2dc1f5c2beba,final-survey,,"['benchmark', 'multi', 'single']",[],"[{'questionId': 'favorite', 'answer': '1'}, {'questionId': 'favoriteWhy', 'answer': 'The carousel of proposals was pretty cool in presentation but gave a chaotic picture of potential choices'}, {'questionId': 'real', 'answer': '0'}, {'questionId': 'realWhy', 'answer': 'I am extremely used to this form of presenting accommodation proposals and I think this pattern give clear view of your preferences'}, {'questionId': 'rank', 'answer': '[""benchmark"",""single"",""multi""]'}, {'questionId': 'feedback', 'answer': ''}]"
2d5a0430-d472-41de-8437-d18e93908c94,final-survey,,"['single', 'multi', 'benchmark']","[{'questionId': 'age', 'answer': '27'}]","[{'questionId': 'favorite', 'answer': '1'}, {'questionId': 'favoriteWhy', 'answer': 'Something new but can be hard for old people '}, {'questionId': 'real', 'answer': '2'}, {'questionId': 'realWhy', 'answer': 'I already know this style and its easy to use for humankind :0'}, {'questionId': 'rank', 'answer': '[""benchmark"",""multi"",""single""]'}, {'questionId': 'feedback', 'answer': ''}, {'questionId': 'sex', 'answer': 'Male'}, {'questionId': 'travelFrequency', 'answer': '2 – 3 times a year'}]"
343da180-8031-4b31-9e6e-333341a68929,final-survey,,"['benchmark', 'multi', 'single']","[{'questionId': 'age', 'answer': '27'}]","[{'questionId': 'favorite', 'answer': '0'}, {'questionId': 'favoriteWhy', 'answer': 'Combines ease of use with multiple filtering options.'}, {'questionId': 'real', 'answer': '0'}, {'questionId': 'realWhy', 'answer': 'Found it the most convenient to use.\nIt is the interface I am the most familiar with.'}, {'questionId': 'rank', 'answer': '[""benchmark"",""single"",""multi""]'}, {'questionId': 'feedback', 'answer': 'Map view in all of them.\nSearch by name as well.\nMulti-directional was too confusing and too cluttered to get used to quickly.'}, {'questionId': 'sex', 'answer': 'Male'}, {'questionId': 'travelFrequency', 'answer': '2 – 3 times a year'}]"
